id,puzzle_data,solution_data,difficulty_level,techniques_used,clue_count
1,002080000000300040040000601000500018000600900050010400460000079085070030200006800,612485397798361542543927681326549718174638925859712463461853279985274136237196854,4,"naked_singles,x_wing",26
2,460000000003010500070050060040060803090020000000035901000001005718000000200007300,465972138983416572172358469547169823391824657826735941634291785718543296259687314,4,"hidden_singles,naked_singles,x_wing",26
3,001000500050080071600000009000712000000308900000940003097060280006000140000520000,271694538459283671683175429935712864764358912812946753397461285526839147148527396,5,"hidden_singles,naked_singles,xyz_wing",27
4,009600400700900005030001000000030080802005004351000020010000006008000050000290100,129653478786924315435871269694732581872165934351489627213547896948316752567298143,4,"hidden_singles,naked_pairs,naked_singles,y_wing",25
5,000830000203014900000000036100200050509006000600000029010902000000000068006300500,967835214283614975451729836134298657529476381678153429815962743392547168746381592,4,"naked_singles,y_wing",26
6,050060040000007000920040106502004000000600280700003054000080000104030600080000000,851362749346917825927548136592874361413659287768123954639481572174235698285796413,5,"hidden_pairs,naked_singles,swordfish,y_wing",25
7,000000000000080763000260100500000000010903000804026000100630500005009010200008690,467391825921485763358267149596874231712953486834126957149632578685749312273518694,4,"hidden_singles,naked_singles,y_wing",26
8,300000000070000002028034090092000800000000706040050009000072000007800005016003007,369125478174986532528734691692317854853249716741658329985472163237861945416593287,4,"hidden_singles,naked_singles,y_wing",25
9,030040080000800900010507000002068000904000000008400067096003000700000098000001002,637149285245836971819527436172368549964715823358492167596283714721654398483971652,4,"naked_singles,x_wing,y_wing",25
10,006000320409200000830000000040000010608917400000050000000001000300800005000095836,176549328459238761832176549543682917628917453791453682985361274367824195214795836,4,"naked_singles,y_wing",26
11,780050400050003020304200000026090700500004000070001006090000870008000092200000004,782956431951843627364217958426398715513674289879521346195462873648735192237189564,4,"naked_singles,y_wing",27
12,000000000063010000100609000000000180290500000600980045007006500030400000015800090,749328651563714928182659473354267189298541367671983245827196534936475812415832796,5,"naked_singles,swordfish,y_wing",25
13,030000000406002700070900418100040000000000009000807500500001270002500004004600800,831754962496182753275936418158349627647215389329867541583491276962578134714623895,5,"box_line_reduction,naked_pairs,naked_singles,xyz_wing,y_wing",26
14,019000003300100080065000001900800075001009200500400000600782000008004000002390050,819247563374165982265938741926813475481579236537426819653782194198654327742391658,4,"naked_singles,x_wing,y_wing",28
15,900020000060590000203000050000051800000000007420007600000400086000085000750060300,915723468867594123243618759376951842581246937429837615132479586694385271758162394,4,"hidden_singles,naked_singles,y_wing",25
16,300000000010207000029100036007000060200500008050961020001803600000000500500002001,345689217618237954729145836197328465263574198854961723971853642432716589586492371,4,"hidden_singles,naked_singles,y_wing",27
17,000000000300100002007028090005090040008500000000030107050402000910080020400009006,821943675369157482547628391675291843138574269294836157753462918916385724482719536,5,"hidden_singles,naked_singles,xyz_wing",25
18,030000008000000004008300206802000400043010000570002000900007000004023001000068790,435296178267581934198374256812735469643819527579642813986157342754923681321468795,5,"naked_singles,xyz_wing",26
19,000908000714050000300000000000600001001000790470000082000025008000000307903000046,256938174714256839398174265832697451561842793479513682647325918185469327923781546,4,"hidden_singles,naked_singles,y_wing",25
20,001000005700060004000000010075012090000000000060073820608390040900000000050700060,391284675782165934546937218875612493213849756469573821628391547937456182154728369,4,"hidden_singles,naked_singles,y_wing",25
21,002000970000009600039000001501030000090060000800400050300007080000640020060200007,612354978458179632739826541541732869293568714876491253325917486987643125164285397,5,"naked_singles,xyz_wing",25
22,038420900461000000000080006007005400009200003310000095000150300000090000000008007,538426971461579832972381546627935418859214763314867295746152389185793624293648157,4,"naked_singles,y_wing",26
23,004000306300000050080900000000090007000780010030104000700400005042010009005000602,274851396369247851581936274158693427426785913937124568793462185642518739815379642,4,"hidden_singles,naked_singles,y_wing",25
24,000580000400600700018000600600050000000908005800000102000070010209800004000209080,726583941435691728918742653692154837371928465854367192583476219269815374147239586,4,"hidden_singles,naked_singles,y_wing",25
25,700000500000000000002450000000100207600035090400090005006001800009700640180000900,768319524541672389932458716895164237617235498423897165376941852259783641184526973,5,"box_line_reduction,hidden_pairs,hidden_singles,naked_singles,xyz_wing",25
26,010090000080500040037040290900000400006027500000900000003000084700210000000050006,415392867289576341637841295972635418846127539351984672523769184764218953198453726,4,"naked_singles,y_wing",25
27,000007000000035040060120000006070009320000800750001000010000000040310720970000560,132497685897635142564128973486573219321964857759281436218756394645319728973842561,4,"naked_singles,y_wing",26
28,080007000000840900200095100000180000060030080000009361008000012090070650004500009,489317526516842937273695148325186794961734285847259361758963412192478653634521879,5,"naked_singles,swordfish,y_wing",28
29,410800000080570000703004000006003500000200108008007020090000840000000007040060003,415832796289576431763914285926183574374295168158647329697351842831429657542768913,4,"hidden_singles,naked_singles,x_wing",25
30,790300601042090050500000007000000100070800040964020800000000000003007200050400000,798345621142796358536218497385974162271863945964521873627189534413657289859432716,4,"naked_singles,x_wing,y_wing",25
31,209000701040000003000207004650001040001000006002003000006400085100008000000750000,269384751748195623513267894657821349831549276492673518376412985125938467984756132,4,"naked_singles,y_wing",25
32,035000900090000280200100007043208000000040103050090000000000700009004008000362000,435827961197436285286159347943218576872645193651793824564981732329574618718362459,4,"hidden_singles,naked_singles,y_wing",25
33,003000092004069008060200040059108000000000065000000800000700000300620000107000380,573814692214369758968257143659148237831972465742536819496783521385621974127495386,4,"hidden_singles,naked_singles,y_wing",25
34,000006089300090000076050004000670510400000000015080006000568001001200000009700000,154326789328497165976851324893674512462135897715982436237568941581249673649713258,4,"naked_singles,y_wing",26
35,000000240000080750050407000000000618800200400400100000005020009001030000648010000,783591246964382751152467983527943618819256437436178592375824169291635874648719325,4,"hidden_singles,naked_singles,y_wing",25
36,007060500004000000809000604008005030000000150000020400070508001021030900600900000,237864519564179823819253674148695732392487156756321498973548261421736985685912347,4,"naked_singles,y_wing",25
37,304000600005100000020000000500001008830069002070080000000025400000000760000890013,384957621765132894129648357546271938831469572972583146613725489298314765457896213,4,"naked_singles,y_wing",25
38,000000005000025180000900600530002009104500000060070000300089000000050070200003046,421867395693425187785931624538142769174596238962378451347689512816254973259713846,4,"hidden_singles,naked_singles,y_wing",25
39,000060003062903000000005041030000004904010000700000800040006078000000960003098000,485761293162943587397285641238679154954812736716354829549126378821437965673598412,4,"naked_singles,y_wing",25
40,900000007070008000000015030007600090000000003001000482008090000760804920040002000,912436857375928614486715239827643195594281763631579482258197346763854921149362578,4,"naked_singles,x_wing,y_wing",25
41,560010200100004860000069400600007000050200080002340010200000009010000000807000040,564813297179524863328769451643187925751296384982345716236458179415972638897631542,4,"naked_singles,y_wing",26
42,000910607005000400000000080008001036020080005100704009010570200350020000000000000,483912657265837491971465382548291736729386145136754829814579263357628914692143578,5,"naked_singles,xyz_wing",25
43,074000052100000000600805001003000000800209007000008400080900000000000090796030240,374196852158723964629845371263417589845269137917358426582974613431682795796531248,4,"naked_singles,x_wing,y_wing",25
44,006080005570000003040000690050006000000300047004019000200170500900000060030900200,396482715572691483841537692153746928689325147724819356268174539917253864435968271,4,"naked_singles,y_wing",26
45,001003200300000005020708010608090420002000090405010300000000700000401000009000082,851643279367129845924758613678395421132864597495217368516982734283471956749536182,4,"naked_singles,y_wing",26
46,605820009000000007040009030000000280001000000000496050020600000400010000100308420,635827149219534867847169532964751283571283694382496751723645918458912376196378425,4,"box_line_reduction,naked_pairs,naked_singles,pointing_pairs,y_wing",25
47,000000080700000103100098056070630000012000000403100900000800390050076002000009060,625713489798564123134298756879635214512947638463182975246851397951376842387429561,5,"hidden_singles,naked_singles,pointing_pairs,xyz_wing,y_wing",27
48,000006700200000003080000012700000800960500070000270400004060000500000000697081300,359126748271854693486937512742613859963548271815279436124365987538792164697481325,5,"hidden_singles,naked_singles,xyz_wing",25
49,410030000058107000062000000000040870040000000000800310070002060005001040004000039,419238657358167492762954183231549876846713925597826314973482561625391748184675239,4,"hidden_singles,naked_singles,y_wing",25
50,900080005000090706700006008003000200000170000060500000041060070090800600002000104,936782415285491736714356928573648291428179563169523847841265379397814652652937184,4,"naked_singles,pointing_pairs,x_wing,y_wing",25
