id,puzzle_data,solution_data,difficulty_level,techniques_used,clue_count
1,600470205307006000000001060054080600070000508016005042000000000105030020702000059,691473285327856914548921367954287631273164598816395742469512873185739426732648159,4,"naked_singles,y_wing",30
2,502940310000000027487000005000000000800001000040083270004700590000020000600039842,562947318319856427487312965726495183893271654145683279234768591958124736671539842,4,"naked_singles,x_wing,y_wing",30
3,080090260060100008070800000705006302001080000800520040010000004497000006600400190,184795263269143758573862419745916382921384675836527941318679524497251836652438197,4,"naked_singles,y_wing",30
4,001000030230010905005230040009020003020000000300970004080067029000009360006040050,871594632234716985695238147459621873127483596368975214583167429742859361916342758,3,"box_line_reduction,hidden_singles,naked_singles,pointing_pairs",30
5,080260100140005092000013000035192000007000080600007000000600500060400030301020406,789264153143785692256913847835192764917346285624857319478639521562471938391528476,4,"hidden_singles,naked_singles,y_wing",30
6,002000050805400700070350040710500620000008310000000005340061002920000036000230000,462817953835429761179356248718593624254678319693142875347961582921785436586234197,4,"naked_singles,y_wing",30
7,308720015600100000005000200081403500240000000506000001060840090000090050902000304,398726415627154938415938267781463529249581673536279841163845792874392156952617384,4,"naked_singles,y_wing",30
8,610008040700200000083014520300000000090506030001093058009000200006040095000000860,612358947754269381983714526365821479498576132271493658549687213836142795127935864,3,"hidden_singles,naked_singles,pointing_pairs",30
9,800907200000040809070050600003095487090000020008002900080009140730010000040080000,864937251315246879279851634623195487197468325458372916586729143732614598941583762,4,"hidden_singles,naked_singles,y_wing",30
10,205000040067254000001000005020167090010000023700000000009078030004603000000910064,235781649967254381841396275423167598516849723798532416659478132184623957372915864,4,"hidden_singles,naked_singles,y_wing",30
11,123600050480005070700000801800070004000100008030500700300090045250061007000000200,123687459489215673765934821892376514547129368631548792376892145258461937914753286,3,"hidden_singles,naked_singles,pointing_pairs",30
12,500800900719000000800093075080000000021045086400080050000700803000200600238000010,543817962719526438862493175385679241921345786476182359694751823157238694238964517,4,"hidden_singles,naked_singles,y_wing",30
13,080120050300680007400000803150400000000900008900810645092000000074050900600000500,789123456325684197461579823158467239246935718937812645592746381874351962613298574,4,"naked_singles,y_wing",30
14,600300900000704203000000610090280005100009000026105700741906002250000000900000001,687312954519764283432598617394287165175649328826135749741956832253871496968423571,4,"hidden_singles,naked_singles,x_wing",30
15,001408200008507900700903080000030000900200013610094020079085100205009000000000000,591468237438527961726913584852731496947256813613894725379685142265149378184372659,4,"naked_singles,x_wing,y_wing",30
