id,puzzle_data,solution_data,difficulty_level,techniques_used,clue_count
1,002050008508000304040730010800076020000000000070120003000043000000007901004900000,732451698518269374946738512851376429263894157479125863197543286325687941684912735,5,"hidden_singles,naked_singles,xyz_wing",26
2,500902043098000200002000000900003007007010000020405060059000030000060009630000000,576982143398154276142736895915623487467819352823475961759241638284367519631598724,5,"naked_singles,swordfish",25
3,900400000031005000000000613000270009003009240000000030060000502300000001040060080,976431825231685974458927613684273159713859246592146738867314592325798461149562387,5,"hidden_singles,naked_singles,xyz_wing",24
4,000007060100000000000068050070004900000090200006035170009000000025086000080300000,954217863168453729732968451871624935543791286296835174319572648425186397687349512,5,"naked_singles,pointing_pairs,xyz_wing,y_wing",23
5,004003000009005600650000000000080009000002540300000100060000038090050000080460020,124693857839275614657814293245186379918732546376549182561927438492358761783461925,5,"hidden_singles,naked_singles,xyz_wing",23
6,056100208082000030000000000001000020008070064000009705000604000105030007020095000,956143278482567139317928546791456823538271964264389715879614352145832697623795481,5,"hidden_singles,naked_pairs,naked_singles,pointing_pairs,xyz_wing,y_wing",26
7,000084160090000000002390800600700000000000084780900000900602400503000000040000097,357284169896157342412396875635748921129563784784921536978612453563479218241835697,5,"hidden_singles,naked_pairs,naked_singles,swordfish",25
8,030000000000604070008000025004080050000073000090001800075902006010030000020000030,237158964951624378648397125164289753582473619793561842375912486416835297829746531,5,"hidden_singles,naked_singles,swordfish",24
9,300000078080309010000002004006500000200008090050001030804000706009020000000100000,342615978687349512195782364436597281271438695958261437814953726769824153523176849,5,"hidden_singles,naked_singles,xyz_wing",24
10,050619008000000000180000004000800000301006900000005403200050001070000009500700020,452619378697384152183527694945831267321476985768295413236958741874162539519743826,5,"hidden_pairs,hidden_singles,naked_singles,xyz_wing",24
11,400010007010050300572004000000008270030060000805000003000005940080000000000700130,493816527618257394572394681146538279739462815825971463367125948981643752254789136,5,"naked_singles,xyz_wing",25
12,015600700006080000830700010003000080000900003100020009370410000090000406008000000,415692738726381954839745612953164287284957163167823549372416895591238476648579321,5,"hidden_singles,naked_singles,xyz_wing",25
13,300500007050089000900400050200070000010806200008005000000700030006000470000004091,364512987157389624982467153245971368719836245638245719421798536896153472573624891,5,"hidden_singles,naked_singles,x_wing,xyz_wing",25
14,000000005032000000004600027970500400820009003306000000560803000090040500000000000,789312645632754891154698327971536482825479163346281759567823914298147536413965278,5,"naked_singles,swordfish,y_wing",24
15,007000950102030080080600001204000000000804000015027003000090000000400008090000310,637148952152739486489652731264513879973864125815927643548391267321476598796285314,5,"hidden_singles,naked_singles,xyz_wing",25
16,000001000060020073120030050900203005000019000000000800240605009630000200000000080,873951624569824173124736958917283465486519732352467891248675319635198247791342586,5,"hidden_singles,naked_pairs,naked_singles,x_wing,xyz_wing,y_wing",25
17,003086000028000400000020080310400002007000000600000059000073000000000908700600210,473986521528731496961524387319457862257869134684312759892173645136245978745698213,5,"naked_singles,pointing_pairs,x_wing,xyz_wing,y_wing",24
18,700020000000900700004003000000086004060570092000000050050010460036405000020000000,795628341683941725214753986579286134361574892842139657957812463136495278428367519,5,"hidden_singles,naked_singles,xyz_wing",24
19,000830092002009000810400000430000060050020304000000010007060000000250003000001000,745836192362519748819472536438195267951627384276384915587963421194258673623741859,5,"hidden_singles,naked_pairs,naked_singles,pointing_pairs,xyz_wing,y_wing",23
20,000060000705001002002007960030000000000000071100500389003000500400016700820000000,984265137765931842312487965237198456598643271146572389673829514459316728821754693,5,"naked_singles,xyz_wing",25
21,290000600100000040008200005010600003030709000000800024000008000021050090000107000,293574681157386249648291735815642973432719568976835124564928317721453896389167452,5,"hidden_singles,naked_singles,xyz_wing,y_wing",24
22,063000000000000090002039080030800057100007029070024800410700000000001002008000000,963148275841275396752639184239816457184357629576924813415762938397481562628593741,5,"naked_singles,xyz_wing",25
23,208001005000700010000040008401008003000400090090005700010000650070250000000106000,248361975659782314137549268461978523725413896893625741914837652376254189582196437,5,"hidden_singles,naked_singles,xyz_wing",25
24,030000208000090060000002000005086020000400500700010009009100000020760013007800000,436571298251398764978642135145986327692437581783215649869153472524769813317824956,5,"naked_singles,xyz_wing",24
25,670104009000080600003020070160000004000090000084001000430007090200009100008000200,675134829942785613813926475169352784527498361384671952431267598256849137798513246,5,"naked_singles,xyz_wing",26
26,500000008009000600080310000050000037020059000000200010000060090100840000030900760,543692178219478653687315942954186237321759486768234519472563891196847325835921764,5,"naked_singles,xyz_wing",24
27,700050200000084100210003005620000598030008026000000000002000000490006030000100040,748951263563284179219763485624317598135498726987625314372849651491576832856132947,5,"hidden_singles,naked_singles,xyz_wing",26
28,060005009300009087080200400100007803052180060000400000000000700230000000000004008,461875239325649187987231456146957823752183964893462571518396742234718695679524318,5,"naked_singles,xyz_wing",25
29,301000506507030000000005840210008409000000000008541000070002000002690000000003900,381924576547836291629715843216378459435269718798541632973482165152697384864153927,5,"hidden_singles,naked_singles,xyz_wing",26
30,800000032001000000450372900500040080000000001080030040029000060000000090170089000,897164532231895674456372918513746289764928351982531746329417865648253197175689423,5,"naked_singles,xyz_wing",25
31,003070000154086000000400005000030190300000000090010280000060008076100040000092070,283975461154386729769421835627538194318249657495617283932764518876153942541892376,5,"naked_pairs,naked_singles,xyz_wing",26
32,067354000400000100000080000800070304050000020004000010900607400006020000040009203,167354892485962137293781546829176354651843729374295618912637485536428971748519263,5,"hidden_singles,naked_singles,swordfish,y_wing",26
33,000650000000000000600032004009040520000800047000010000060000380018900005570000901,421658739835497216697132854189746523356829147742315698964571382218963475573284961,5,"box_line_reduction,hidden_singles,naked_singles,xyz_wing",25
34,861007052000600000050090078600000080000000100035060009000050800000300060549000700,861437952297685314453291678612943587984572136735168249326754891178329465549816723,5,"hidden_singles,naked_singles,xyz_wing,y_wing",26
35,008050003003007000000000986400070000700000068052601040900040007000005600520000400,248956173693187524175423986469278315731594268852631749916342857384715692527869431,5,"hidden_pairs,hidden_singles,naked_pairs,naked_singles,naked_triples,pointing_pairs,xyz_wing,y_wing",26
36,802600003306057000040900002070000004009030061000000200000000010000040030400065000,852614973396257148147983652271596384589432761634871295965328417728149536413765829,5,"naked_singles,pointing_pairs,xyz_wing,y_wing",24
37,000000010080071540050040900000294000100000000065080002500900000004007003000008100,436859217289371546751642938873294651142765389965183472518936724624517893397428165,5,"naked_singles,xyz_wing",24
38,000000060904600020021009003070100000302000000000000056030510407000940210040000000,753821964984637521621459873576184392392765148418392756239516487867943215145278639,5,"hidden_singles,naked_singles,xyz_wing",25
39,500000007000030400100045302000024080000810720000000000270000060960502073000000000,543269817792138456186745392617324985359816724428957631271493568964582173835671249,5,"naked_singles,xyz_wing",25
40,010000900006007000400050130000000201008000000100003009000078002080609000002300400,513842976896137524427956138639784251248591763175263849351478692784629315962315487,5,"naked_singles,swordfish,y_wing",23
41,086509000007000000000081400070000900200400030000037210054900000000205060000040000,486529173127364859539781426673152948215498637948637215354916782891275364762843591,5,"hidden_singles,naked_singles,swordfish",24
42,304000920120000034008000007000180000000300700000072041030060050000040000287900000,374618925126759834958423167742186593615394782893572641431867259569241378287935416,5,"hidden_singles,naked_pairs,naked_singles,xyz_wing",26
43,001080040080007600004059000207000000040000106000500002000100025900203401000000000,691382547582417693734659218257961834349728156816534972478196325965273481123845769,5,"naked_singles,xyz_wing",24
44,070020060500004900002503000006007000000000180090800007060400030401000000035000806,973128465518764923642593718186257394357649182294831657869475231421386579735912846,5,"hidden_singles,naked_singles,xyz_wing",25
45,270080009300702060090001800030000980008670000050900000000030000000000614800000070,271586439384792561596341827137425986948673152652918743465137298723859614819264375,5,"hidden_singles,naked_singles,xyz_wing",25
46,002700010900680000416002000009230000005060000000008007600000805300809401000000070,852743916973681542416592738769235184185467293234918657691374825327859461548126379,5,"hidden_singles,naked_pairs,naked_singles,xyz_wing,y_wing",26
47,000000010200805700960004005050300009000080000700609080400000062000000800001007350,547263918213895746968714235854371629196482573732659481479538162325146897681927354,5,"naked_singles,xyz_wing",25
48,000080090520000004400901005080070450060000009305800000040000108003100000006007000,631485792529736814478921635182379456764512389395864271947653128253148967816297543,5,"hidden_singles,naked_singles,pointing_pairs,xyz_wing,y_wing",25
49,059070001008050000000100004305000029010000060000080400001000706000700000007824300,459278631168453972732169584385647129914532867276981453821395746543716298697824315,5,"hidden_singles,naked_singles,xyz_wing",25
50,270500010090003400005100006300706000010000700000000004700030001000005009051060803,276594318198623457435178926384756192619342785527981634742839561863415279951267843,5,"hidden_singles,naked_singles,swordfish,y_wing",26
